="",="HorseRaceTable",="",="",="",="",=""
="",="Mean",="SD",="c1",="hrnd_ev",="hoa_ev",="hsa_ev"
="EV",="16.67",="31.18",="0.261",="0.461",="0.469",="0.398"
="EUT^{+}",="43.94",="39.70",="0.189",="0.479",="0.426",="0.384"
="EUT^{-}",="38.47",="40.93",="0.205",="0.470",="0.429",="0.385"
="DT^{+}",="40.85",="49.16",="0.015",="0.345",="0.343",="0.327"
="DT^{-}",="44.87",="49.74",="-0.002",="0.336",="0.331",="0.320"
="KR",="88.83",="31.50",="0.053",="0.319",="0.320",="0.291"
="RDEU^{+}",="55.61",="47.57",="-0.064",="0.331",="0.314",="0.304"
="RDEU^{-}",="54.85",="46.40",="0.010",="0.372",="0.352",="0.332"
="CPT^{-}",="57.98",="45.27",="0.017",="0.382",="0.354",="0.335"
="CPT^{NLIB}",="73.61",="38.31",="-0.008",="0.370",="0.340",="0.314"
="EV_{CP}",="48.21",="48.76",="0.098",="0.385",="0.381",="0.345"
="DT_{CP}^{+}",="70.43",="45.44",="-0.025",="0.312",="0.310",="0.293"
="DT_{CP}^{-}",="70.77",="45.28",="-0.023",="0.313",="0.310",="0.293"
="EUT_{CP}^{+}",="81.58",="37.59",="0.050",="0.335",="0.331",="0.300"
="EUT_{CP}^{-}",="83.20",="34.95",="0.042",="0.340",="0.328",="0.297"
="RDEU_{CP}^{+}",="69.42",="44.65",="-0.069",="0.311",="0.299",="0.285"
="RDEU_{CP}^{-}",="71.16",="43.06",="-0.019",="0.334",="0.324",="0.303"
