="",="(1)",="(2)",="(3)",="(4)"
="UC_{std}^{+} / \gamma_{std}^{+}",="0.81",="0.81",="2.34***",="2.34**"
="",="(0.69)",="(0.69)",="(0.74)",="(0.74)"
="PW_{std}^{+} / \beta_{std}^{+}",="-0.07",="1.00",="1.53",="2.68**"
="",="(0.68)",="(0.85)",="(0.76)",="(0.95)"
="CP_{std} / \hat{\kappa}_{std}",="-0.39",="-0.39",="-1.13",="-1.13"
="",="(0.65)",="(0.65)",="(0.79)",="(0.79)"
="UC_{std}^{-} / \gamma_{std}^{-}",="1.12",="1.12",="1.62",="1.62"
="",="(0.65)",="(0.65)",="(0.75)",="(0.75)"
="PW_{std}^{-} / \beta_{std}^{-}",="2.15***",="3.28***",="1.24",="2.30*"
="",="(0.62)",="(0.79)",="(0.72)",="(0.93)"
="LA_{std} / \hat{\lambda}_{std}",="1.91**",="1.91**",="2.60**",="2.60**"
="",="(0.69)",="(0.69)",="(0.87)",="(0.87)"
="Prob > 40",="",="34.99***",="",="37.05***"
="",="",="(1.12)",="",="(1.28)"
="Prob > 40 X PW_{std}^{+} / \beta_{std}^{+}",="",="-3.20***",="",="-3.47***"
="",="",="(0.83)",="",="(0.96)"
="Prob > 40 X PW_{std}^{-} / \beta_{std}^{-}",="",="-3.41***",="",="-3.18**"
="",="",="(0.84)",="",="(0.99)"
="FOSD violators",="Yes",="Yes",="No",="No"
="Fixed effects",="Scenario",="Scenario",="Scenario",="Scenario"
="Clustered SEs",="Subject",="Subject",="Subject",="Subject"
="R\textsuperscript{2}",="0.12",="0.12",="0.14",="0.14"
="N choices",="20760",="20760",="15312",="15312"
="N subjects",="1730",="1730",="1276",="1276"
