="",="mean",="sd",="mean",="sd",="mean",="sd",="mean",="sd",="mean",="sd",="mean",="sd",="mean",="sd"
="Age",="",="",="",="",="",="",="",="",="21.48",="2.34",="36.14",="10.81",="32.94",="11.37"
="Dummy for female",="",="",="",="",="",="",="",="",="0.72",="0.45",="0.40",="0.49",="0.47",="0.50"
="Dummy for US",="",="",="",="",="",="",="",="",="1.00",="0.00",="0.85",="0.36",="0.88",="0.32"
="Dummy for white",="",="",="",="",="",="",="",="",="0.69",="0.46",="0.69",="0.46",="0.69",="0.46"
="Dummy for black",="",="",="",="",="",="",="",="",="0.04",="0.20",="0.06",="0.24",="0.06",="0.23"
="Dummy for asian",="",="",="",="",="",="",="",="",="0.29",="0.45",="0.21",="0.41",="0.23",="0.42"
="Dummy for latino",="",="",="",="",="",="",="",="",="0.02",="0.15",="0.06",="0.25",="0.06",="0.23"
="GRQ",="",="",="",="",="",="",="",="",="5.28",="2.13",="5.23",="2.76",="5.24",="2.63"
="Final payment to subject",="",="",="",="",="",="",="",="",="6.41",="4.65",="6.23",="5.05",="6.27",="4.97"
="Dummy for made $\ge 1$ FOSD choice",="",="",="",="",="",="",="",="",="0.14",="0.34",="0.30",="0.46",="0.26",="0.44"
="Num times violated FOSD",="",="",="",="",="",="",="",="",="1.44",="0.73",="1.75",="0.98",="1.72",="0.96"
="Dummy for pref task instr wrong",="",="",="",="",="",="",="",="",="0.12",="0.32",="0.14",="0.35",="0.13",="0.34"
="Dummy for ins task instr wrong",="",="",="",="",="",="",="",="",="0.17",="0.37",="0.18",="0.38",="0.18",="0.38"
="Understanding score",="",="",="",="",="",="",="",="",="1.94",="0.80",="1.76",="0.82",="1.80",="0.82"
